dma_code,dma_name,case,status,case_reason,mnf_start,mnf_end,current_mnf,baseline_mean,baseline_sd,threshold,watch_threshold,mk_z,mk_trend,mk_significant,cusum_h,cusum_breached,cusum_recent_breach,cusum_step_rapid,sustained_flow_breach,sustained_run_intervals,pressure_drop_confirmed,hard_threshold_breached,excess_per_hour,est_loss_per_day,base_win_len,r_eff_median,loss_factor_median,proximity_estimate,favad_volume_total,user_type,pipe_material,generated_at
DM-01-04-07-01,DM-01-04-07-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),00:00,02:00,17.375,85.962,10.809,107.579,96.77,-1.252,ไม่มีแนวโน้มชัดเจน,False,43.234,False,False,False,False,1,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-05-02-01,DM-01-05-02-01,B,watch,Flow สูงกว่าเกณฑ์ต่อเนื่อง 8 intervals พร้อมแรงดันตก แต่ไม่ใช่การเปลี่ยนแปลงฉับพลันใน 1-2 วัน (น่าจะเป็นรั่วที่ดำเนินมาระยะหนึ่งแล้วและขยายจนคงที่) — ควรตรวจสอบโดยเร็วแต่ไม่ใช่เหตุฉุกเฉินแบบท่อแตกใหม่,01:15,03:15,103.625,92.933,11.372,115.678,104.305,1.527,มีแนวโน้มเพิ่มขึ้นเล็กน้อย (ยังไม่ชัดเจนพอ),False,45.49,False,False,False,True,8,True,False,2.651,63.62,14,0.0,0.1,ไกลจาก RTU สัมพัทธ์ / ปลายสาย (> 2 กม. โดยประมาณ),63.62,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-05-04-01,DM-01-05-04-01,C,ok,เคยมีสัญญาณผิดปกติ (Mann-Kendall/CUSUM สะสม) แต่ MNF ล่าสุด (71.8) ลดลงมาต่ำกว่า 70% ของพีคล่าสุด (78.5) แล้ว — น่าจะเป็นเหตุการณ์ที่จบไปแล้ว/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,02:00,04:00,71.75,92.077,15.3,122.677,107.377,-1.968,ลดลงต่อเนื่อง (มีนัยสำคัญ),True,61.199,False,False,False,False,0,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-05-04-02,DM-01-05-04-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,49.0,49.654,1.491,52.636,51.145,-1.527,ไม่มีแนวโน้มชัดเจน,False,5.965,True,False,True,False,1,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-06-01-02,DM-01-06-01-02,C,ok,เคยมีสัญญาณผิดปกติ (Mann-Kendall/CUSUM สะสม) แต่ MNF ล่าสุด (22.0) ลดลงมาต่ำกว่า 70% ของพีคล่าสุด (23.5) แล้ว — น่าจะเป็นเหตุการณ์ที่จบไปแล้ว/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,01:45,03:45,22.0,22.087,0.897,23.88,22.983,1.968,เพิ่มขึ้นต่อเนื่อง (มีนัยสำคัญ),True,3.586,False,False,False,False,0,False,False,0.247,5.92,14,0.0,0.1,,5.92,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-06-04-02,DM-01-06-04-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,120.625,131.788,3.761,139.311,135.55,-1.61,ไม่มีแนวโน้มชัดเจน,False,15.045,True,True,True,False,0,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-06-05-01,DM-01-06-05-01,C,ok,เคยมีสัญญาณผิดปกติ (Mann-Kendall/CUSUM สะสม) แต่ MNF ล่าสุด (84.4) ลดลงมาต่ำกว่า 70% ของพีคล่าสุด (85.4) แล้ว — น่าจะเป็นเหตุการณ์ที่จบไปแล้ว/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,02:00,04:00,84.375,74.596,10.027,94.649,84.623,-0.808,ไม่มีแนวโน้มชัดเจน,False,40.106,True,True,False,False,2,False,False,8.571,205.69,14,0.0,0.0,,205.69,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-07-02-01,DM-01-07-02-01,C,ok,เคยมีสัญญาณผิดปกติ (Mann-Kendall/CUSUM สะสม) แต่ MNF ล่าสุด (96.1) ลดลงมาต่ำกว่า 70% ของพีคล่าสุด (96.8) แล้ว — น่าจะเป็นเหตุการณ์ที่จบไปแล้ว/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,02:00,04:00,96.125,96.087,5.485,107.057,101.572,2.065,เพิ่มขึ้นต่อเนื่อง (มีนัยสำคัญ),True,21.94,False,False,False,False,5,True,False,0.0,0.0,14,0.0,0.00189,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-07-02-03,DM-01-07-02-03,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,17.875,19.308,1.132,21.571,20.439,-0.716,ไม่มีแนวโน้มชัดเจน,False,4.526,False,False,False,False,2,False,False,1.192,28.62,14,0.0,0.1,,28.62,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-07-03-01,DM-01-07-03-01,B,watch,CUSUM สะสมเป็นบวกต่อเนื่อง (ยังไม่ Step-up ฉับพลัน),01:45,03:45,83.5,79.327,1.32,81.966,80.647,0.449,มีแนวโน้มเพิ่มขึ้นเล็กน้อย (ยังไม่ชัดเจนพอ),False,5.279,True,False,False,True,13,False,False,5.09,122.15,14,0.0,0.1,ไกลจาก RTU สัมพัทธ์ / ปลายสาย (> 2 กม. โดยประมาณ),122.15,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-07-03-02,DM-01-07-03-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),01:45,03:45,39.375,43.279,1.043,45.364,44.321,-1.073,ไม่มีแนวโน้มชัดเจน,False,4.17,False,False,False,False,2,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-07-04-03,DM-01-07-04-03,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,30.125,33.019,1.111,35.242,34.131,-0.902,ไม่มีแนวโน้มชัดเจน,False,4.446,False,False,False,False,5,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-08-02-01,DM-01-08-02-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,62.0,63.837,1.61,67.057,65.447,0.272,มีแนวโน้มเพิ่มขึ้นเล็กน้อย (ยังไม่ชัดเจนพอ),False,6.44,False,False,False,False,0,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-08-04-01,DM-01-08-04-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,38.875,42.067,2.436,46.938,44.503,-0.179,ไม่มีแนวโน้มชัดเจน,False,9.742,False,False,False,False,0,False,False,0.0,0.0,14,0.0,0.06924,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
